room,alias,question,answer
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,1,70%
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,3,Unknown
dkIZ2,12:15-12:20,5,DefiniteYes
dkIZ2,12:15-12:20,3,Same
dkIZ2,12:15-12:20,1,50%
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,1,60%
dkIZ2,12:15-12:20,2,Yes
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,2,No
dkIZ2,Alias,1,40%
dkIZ2,Alias,3,Higher
dkIZ2,Alias,2,Yes
dkIZ2,Alias,4,"Accept - true, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,2,No
dkIZ2,Alias,5,SomeChance
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,1,60%
dkIZ2,Alias,5,SomeChance
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,1,70%
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,3,Lower
dkIZ2,12:15-12:20,5,DefiniteNo
dkIZ2,12:15-12:20,5,DefiniteYes
dkIZ2,Alias,5,Unclear
dkIZ2,12:15-12:20,3,Lower
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,1,70%
dkIZ2,12:15-12:20,1,40%
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,3,Unknown
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,Alias,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,12:15-12:20,3,Higher
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,5,Unclear
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,5,DefiniteYes
dkIZ2,12:15-12:20,3,Unknown
dkIZ2,12:15-12:20,5,DefiniteYes
dkIZ2,12:15-12:20,5,SomeChance
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - true, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - true,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,Alias,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - true,"
dkIZ2,12:15-12:20,4,"Accept - true, MixBlue - true, MixRed - true, Reject - true, Unclear - false,"
3RTW0,A27RABV2PS9312,1,60%
3RTW0,A27RABV2PS9312,1,40%
3RTW0,A17C8CUROFU495,1,40%
3RTW0,A27RABV2PS9312,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
3RTW0,A17C8CUROFU495,3,Higher
3RTW0,A27RABV2PS9312,5,DefiniteNo
3RTW0,A27RABV2PS9312,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
3RTW0,A27RABV2PS9312,2,Yes
3RTW0,A17C8CUROFU495,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
3RTW0,A27RABV2PS9312,3,Lower
3RTW0,A27RABV2PS9312,3,Higher
3RTW0,A27RABV2PS9312,2,No
3RTW0,A17C8CUROFU495,5,DefiniteNo
3RTW0,A17C8CUROFU495,2,No
3RTW0,A17C8CUROFU495,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
3RTW0,A17C8CUROFU495,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V9Xqk,ASI87SMGFEGLK,1,40%
V9Xqk,ASI87SMGFEGLK,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
V9Xqk,A23MWYC245A6AZ,1,30%
V9Xqk,ASI87SMGFEGLK,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V9Xqk,ASI87SMGFEGLK,2,No
V9Xqk,A23MWYC245A6AZ,5,DefiniteNo
V9Xqk,ASI87SMGFEGLK,3,Higher
V9Xqk,A23MWYC245A6AZ,1,40%
V9Xqk,ASI87SMGFEGLK,5,DefiniteNo
V9Xqk,A23MWYC245A6AZ,2,No
B9Lnb,A1IOE79K3G3VQD,1,80%
V9Xqk,A23MWYC245A6AZ,3,Higher
B9Lnb,A1IOE79K3G3VQD,3,Higher
B9Lnb,Kay,1,40%
V9Xqk,A23MWYC245A6AZ,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
B9Lnb,Kay,5,DefiniteNo
B9Lnb,A1IOE79K3G3VQD,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
V9Xqk,A23MWYC245A6AZ,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V9Xqk,A23MWYC245A6AZ,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
B9Lnb,Kay,5,DefiniteYes
B9Lnb,Kay,5,Unclear
B9Lnb,A1IOE79K3G3VQD,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
B9Lnb,Kay,2,Yes
B9Lnb,A1IOE79K3G3VQD,2,No
B9Lnb,A1IOE79K3G3VQD,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
B9Lnb,Kay,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
B9Lnb,A1IOE79K3G3VQD,1,40%
B9Lnb,A1IOE79K3G3VQD,4,"Accept - true, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
B9Lnb,A1IOE79K3G3VQD,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
B9Lnb,Kay,2,No
B9Lnb,Kay,3,Higher
B9Lnb,A1IOE79K3G3VQD,5,SomeChance
B9Lnb,A1IOE79K3G3VQD,5,Unclear
B9Lnb,Kay,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
B9Lnb,Kay,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
B9Lnb,Kay,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
B9Lnb,Kay,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
V7TsH,A1BSVEBYDZ0AAU,1,40%
V7TsH,A1BSVEBYDZ0AAU,3,Higher
V7TsH,A1BSVEBYDZ0AAU,2,No
V7TsH,A1BSVEBYDZ0AAU,5,DefiniteNo
V7TsH,A1BSVEBYDZ0AAU,4,"Accept - false, MixBlue - false, MixRed - true, Reject - false, Unclear - false,"
V7TsH,A1BSVEBYDZ0AAU,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V7TsH,A1BSVEBYDZ0AAU,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V7TsH,A25M33W5R016EA,1,70%
V7TsH,A25M33W5R016EA,1,40%
V7TsH,A25M33W5R016EA,3,Lower
V7TsH,A25M33W5R016EA,3,Higher
V7TsH,A25M33W5R016EA,4,"Accept - true, MixBlue - true, MixRed - true, Reject - false, Unclear - false,"
V7TsH,A25M33W5R016EA,2,Yes
V7TsH,A25M33W5R016EA,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
V7TsH,A25M33W5R016EA,2,No
V7TsH,A25M33W5R016EA,5,DefiniteNo
8yKZL,A1RTZO1MO1N9JT,1,40%
8yKZL,Tris,1,40%
8yKZL,Tris,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
8yKZL,Tris,5,DefiniteYes
8yKZL,Tris,2,No
8yKZL,Tris,5,Unclear
8yKZL,Tris,3,Higher
8yKZL,Tris,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
8yKZL,Tris,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,5,DefiniteNo
8yKZL,A1RTZO1MO1N9JT,5,Unclear
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
8yKZL,A1RTZO1MO1N9JT,2,Unclear
8yKZL,A1RTZO1MO1N9JT,2,No
8yKZL,A1RTZO1MO1N9JT,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
odHpK,Tom,1,40%
odHpK,Tom,5,DefiniteNo
odHpK,Tom,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
odHpK,Tom,3,Higher
odHpK,Tom,2,No
odHpK,Tom,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
odHpK,Tom,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
odHpK,Tom,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
odHpK,A2PY9UB56M2PP2,1,40%
odHpK,A2PY9UB56M2PP2,3,Higher
odHpK,A2PY9UB56M2PP2,5,DefiniteNo
8yKZL,A1RTZO1MO1N9JT,3,Higher
8yKZL,A1RTZO1MO1N9JT,3,Lower
8yKZL,A1RTZO1MO1N9JT,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
odHpK,A2PY9UB56M2PP2,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
odHpK,A2PY9UB56M2PP2,2,No
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - false, MixRed - true, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
8yKZL,A1RTZO1MO1N9JT,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
rTlq9,A25M33W5R016EA,1,40%
rTlq9,A25M33W5R016EA,5,DefiniteNo
rTlq9,A25M33W5R016EA,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
rTlq9,A25M33W5R016EA,5,Unclear
rTlq9,A25M33W5R016EA,3,Higher
rTlq9,A25M33W5R016EA,2,Yes
rTlq9,A25M33W5R016EA,4,"Accept - true, MixBlue - false, MixRed - false, Reject - false, Unclear - false,"
rTlq9,A25M33W5R016EA,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
rTlq9,A25M33W5R016EA,2,No
rTlq9,A25M33W5R016EA,4,"Accept - false, MixBlue - false, MixRed - false, Reject - true, Unclear - false,"
rTlq9,A25M33W5R016EA,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
rTlq9,A25M33W5R016EA,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
rTlq9,A25M33W5R016EA,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
73cs9,A2LJVXSZ9377TO,1,40%
73cs9,A2LJVXSZ9377TO,4,"Accept - false, MixBlue - false, MixRed - false, Reject - false, Unclear - true,"
73cs9,A2LJVXSZ9377TO,5,DefiniteNo
73cs9,A2LJVXSZ9377TO,5,Unclear
73cs9,A2LJVXSZ9377TO,3,Higher
73cs9,A2LJVXSZ9377TO,4,"Accept - true, MixBlue - true, MixRed - false, Reject - false, Unclear - false,"
73cs9,A2LJVXSZ9377TO,2,No
73cs9,A2LJVXSZ9377TO,4,"Accept - false, MixBlue - true, MixRed - false, Reject - true, Unclear - false,"
